gene,f_statistic,p_value,fdr,eta_squared
gene_3970,1029.2774128040753,8.4713064328e-313,2.4471183911158e-310,0.8379844830446758
gene_10284,1009.9484051148728,4.6592070951027e-310,1.3269553052122837e-307,0.8353941333161434
gene_5625,1004.4659987670333,2.841528729148776e-309,7.98035450446075e-307,0.8346442689665695
gene_12568,994.1060428332495,8.855411956835361e-308,2.452949112043395e-305,0.8332084551952832
gene_6361,984.4851328466684,2.2180257854006814e-306,6.060905325214483e-304,0.831852556084638
gene_14798,982.9707669529837,3.6912268961031235e-306,9.952039875480169e-304,0.8316371220305179
gene_11910,982.6669434647235,4.088692933982785e-306,1.0878613133956039e-303,0.8315938335242595
gene_12069,981.1702255042474,6.769328217183216e-306,1.7776959205150884e-303,0.8313802571023394
gene_13507,978.178921175346,1.8577560840933363e-305,4.8161135610835064e-303,0.8309517810586434
gene_5577,973.5004794144409,9.056436839305531e-305,2.3181039155392045e-302,0.8302772548976846
gene_11550,958.8100109323775,1.3651264376013927e-302,3.450527711842221e-300,0.8281237870453839
gene_2129,953.7204232578707,7.875430541846854e-302,1.9660380368726572e-299,0.827364904807033
gene_18042,946.0424778382792,1.1241369147454544e-300,2.7720942137887605e-298,0.8262073208186204
gene_7560,941.6130049004863,5.25303702516952e-300,1.2797790564572634e-297,0.8255324118302845
gene_628,937.7871890757493,1.999140893091926e-299,4.812455714191885e-297,0.8249452475253575
gene_5576,922.19953908581,4.853731067285319e-297,1.154674069547958e-294,0.8225115217561915
gene_17906,920.8606104682774,7.807331888884389e-297,1.835721606106177e-294,0.8222993128432414
gene_18632,917.278775712476,2.792160856189957e-296,6.489687893450244e-294,0.8217291197057958
gene_3862,916.8095084532494,3.300498058427999e-296,7.584019459030974e-294,0.8216541457189621
gene_14190,912.9227835629478,1.3224873676479362e-295,3.004721018113362e-293,0.8210307379777378
gene_11449,905.044700918897,2.2373308704594096e-294,5.026785281284414e-292,0.8197536749785829
gene_742,904.3108712360442,2.9146971875887267e-294,6.476713387937543e-292,0.8196337902688665
gene_9173,903.726761903382,3.598124322531774e-294,7.9084426006429345e-292,0.8195382511108078
gene_17751,891.1796548448237,3.4117286057765413e-292,7.418125176065316e-290,0.8174612788675403
gene_11464,887.9013803363829,1.1304202799258526e-291,2.431726434083049e-289,0.8169107118638386
gene_1482,886.9430624311091,1.605543893466907e-291,3.417442428399403e-289,0.8167491400934989
gene_6890,882.7302341667857,7.535329608106977e-291,1.5872072917242829e-288,0.816035464559903
gene_16061,879.1337751751663,2.834070180878133e-290,5.908013724488322e-288,0.8154217921911704
gene_17664,866.7951533440852,2.7595670444623723e-288,5.694000531232003e-286,0.8132849456336811
gene_8801,864.3759240204855,6.814092597822268e-288,1.3917956204097382e-285,0.8128601602642954
gene_15591,855.7633800725861,1.730779624513337e-286,3.499809478728419e-284,0.8113320923349604
gene_14427,854.2411587433962,3.0741866250498075e-286,6.154765123280412e-284,0.8110594156447294
gene_8349,849.2464904940383,2.036491656157905e-285,4.037244880310686e-283,0.8101591545455958
gene_30,848.5898420434617,2.6129441985516212e-285,5.129742197952654e-283,0.8100401588356143
gene_19201,845.8760747347986,7.331804045493717e-285,1.4255424000377736e-282,0.809546792378696
gene_5657,844.2823034112649,1.3455722023417663e-284,2.5913157622431292e-282,0.8092558463329428
gene_16155,842.9040286767981,2.2765287053245378e-284,4.342800655695045e-282,0.8090035218956517
gene_9184,840.0822915295549,6.694982647252906e-284,1.2652265804682337e-281,0.8084848508898489
gene_1189,838.7556071301518,1.1128856834027824e-283,2.083672352230339e-281,0.8082400146694249
gene_775,835.0984133973191,4.532182770516347e-283,8.4078227341845e-281,0.8075618360672014
gene_18091,832.9971027217599,1.0178599183263374e-282,1.8711041280433518e-280,0.8071700012769775
gene_6594,827.8970166882086,7.303065644111347e-282,1.3304080215277077e-279,0.8062123107127291
gene_15897,826.2419671215815,1.387212250984482e-281,2.504537404210465e-279,0.8058994789701179
gene_16133,818.0849796156323,3.3267593567898495e-280,5.95313282775642e-278,0.8043427992858532
gene_13497,809.8228578060417,8.531081443433294e-279,1.5132192795409179e-276,0.8027403934593839
gene_16449,804.945250123141,5.864499519601145e-278,1.0311829981378674e-275,0.8017820195119297
gene_8005,799.8013936530785,4.524530027498378e-277,7.88711393845213e-275,0.8007611910990979
gene_4046,799.7774878702326,4.567809677186237e-277,7.894502519861786e-275,0.8007564223094948
gene_18745,799.6771975139609,4.753947488579375e-277,8.14657391242064e-275,0.8007364136325763
gene_4456,794.5659458395924,3.659462995466071e-276,6.218319431203313e-274,0.7997113318614806
gene_10809,794.1860244331039,4.260718953080328e-276,7.17966649585311e-274,0.7996347158493429
gene_4223,778.9362956335859,2.0061424884990022e-273,3.3525791123915973e-271,0.7965102625922358
gene_15736,777.5838238979056,3.47874001612409e-273,5.765869005413542e-271,0.796228449488629
gene_15161,777.1609147269274,4.132781540258957e-273,6.794225652485883e-271,0.7961401680831807
gene_6876,776.0962211752884,6.378961638844026e-273,1.0402337362827826e-270,0.7959175764622034
gene_10841,772.6572418846317,2.600403696271368e-272,4.206621051384266e-270,0.7951952690497951
gene_15899,770.4572562537778,6.406035144239471e-272,1.0280669575529075e-269,0.7947305064598875
gene_9652,765.2444317255644,5.469048093284436e-271,8.707844212149967e-269,0.7936207942172103
gene_3861,762.3225505842818,1.8286779306532193e-270,2.88888253404209e-268,0.7929935172340956
gene_2639,761.3724704651507,2.7098025914732885e-270,4.2476680776884784e-268,0.7927887292483347
gene_5199,761.0553636299145,3.090174765520978e-270,4.8066479948922847e-268,0.7927202872471932
gene_17585,757.1259060489529,1.5791824130314014e-269,2.4376066850311427e-267,0.791868415298632
gene_5407,756.3619904996331,2.1701900348835398e-269,3.3245009617712163e-267,0.7917019915184955
gene_3453,751.4453616521209,1.6894595102280508e-268,2.5686135907008582e-266,0.7906244714014002
gene_6734,747.7541546824039,7.941363653498297e-268,1.1983754808760378e-265,0.7898081576766296
gene_145,747.0122576652958,1.0846913837459245e-267,1.6247069978315808e-265,0.7896433176340429
gene_3217,742.2265299498102,8.15371807769626e-267,1.212325979772765e-264,0.788573745354786
gene_6584,741.4931874784525,1.1117074648480167e-266,1.6408639888096163e-264,0.7884088873269385
gene_11393,732.9384960714253,4.210627514983844e-265,6.1697897811948054e-263,0.78646659533984
gene_17168,732.4774948500265,5.126405680675085e-265,7.457629443807978e-263,0.7863609146756249
gene_2811,728.4637791274438,2.8557247081082864e-264,4.124686380189833e-262,0.7854363647632482
gene_3440,727.2675981973852,4.771301373479213e-264,6.842587593838522e-262,0.7851592775270607
gene_17109,726.4842022756145,6.680155757247078e-264,9.512635885020645e-262,0.7849774209968237
gene_5597,726.4552902065736,6.7636755549442255e-264,9.564215622134768e-262,0.7849707034949461
gene_223,725.526465159753,1.0083917985703956e-263,1.4160201777008313e-261,0.7847546744206895
gene_10950,716.1858687008914,5.722851202623378e-262,7.980812011603264e-260,0.7825578313589118
gene_4178,716.1329697569101,5.855941107940131e-262,8.110478434497081e-260,0.7825452621897543
gene_3860,711.2480120027983,4.921380043328228e-261,6.769743255519735e-259,0.7813782646312574
gene_6593,709.3969223563548,1.1058744453799797e-260,1.5109383216235519e-258,0.7809327672711618
gene_3219,708.3659976008996,1.737172502107181e-260,2.3575412862489465e-258,0.7806838689942524
gene_180,706.064819355468,4.769300645770877e-260,6.429335223875527e-258,0.7801262453868046
gene_11124,703.9187190867306,1.2260646146583288e-259,1.641871031324905e-257,0.7796036389617873
gene_2774,703.8600032888849,1.258189208917706e-259,1.673805525889798e-257,0.7795893059000348
gene_8776,703.7251223651692,1.335217607528361e-259,1.764668970054313e-257,0.7795563731752434
gene_11259,703.478849118156,1.488264844717383e-259,1.941561511292271e-257,0.7794962173413259
gene_18282,703.4866458695727,1.4831599782791922e-259,1.941561511292271e-257,0.7794981223148654
gene_16105,702.6434871844735,2.1509748761130515e-259,2.7881322416591034e-257,0.7792919232174468
gene_12977,701.7853974960805,3.141207285642143e-259,4.0457549377687756e-257,0.7790816763313863
gene_16156,699.8623939830104,7.348997974327825e-259,9.405322027777402e-257,0.7786090492470187
gene_2638,695.0967484389064,6.087407698473306e-258,7.741727740303694e-256,0.7774290082729262
gene_5021,693.5802190523898,1.1957771670939573e-257,1.511238130987932e-255,0.7770508512822871
gene_1923,693.1333721379453,1.4592917798351938e-257,1.8328160919284134e-255,0.7769391817244675
gene_8616,690.840205075573,4.061539085518608e-257,5.0696532005106035e-255,0.7763643417493156
gene_18381,689.681027589444,6.820905455821355e-257,8.461688909335191e-255,0.7760726359380155
gene_4640,685.9429745413933,3.646716035095688e-256,4.496356399126214e-254,0.7751267531073077
gene_4224,684.517937757154,6.922537590947333e-256,8.483674704639152e-254,0.7747640523234083
gene_7625,684.1157426347552,8.296794830354017e-256,1.0106595678589673e-253,0.774661473697334
gene_13809,683.7984179212021,9.571612764125977e-256,1.158967555110128e-253,0.7745804750436666
gene_1663,683.0781849565437,1.324217093546565e-255,1.5938686814645886e-253,0.7743964158802948
gene_9927,681.9310358203353,2.221942864578604e-255,2.6585743588546716e-253,0.774102634703194
gene_9711,679.5300512842596,6.578585929835013e-255,7.825034475717281e-253,0.7734852669990102
gene_7792,678.7093782173376,9.540154590409939e-255,1.1281372279104057e-252,0.7732734719045877
gene_7992,678.5936077228184,1.0054005199872934e-254,1.1819885996897126e-252,0.7732435625683671
gene_5830,676.2666762295913,2.8901358432778347e-254,3.378117739128387e-252,0.7726407215030311
gene_17316,671.3595980656726,2.703862266217418e-253,3.1422298209874953e-251,0.771358872307186
gene_15633,668.7859182262645,8.779734852503304e-253,1.0144858197283961e-250,0.7706807683549973
gene_18290,667.0557866746362,1.941702935697925e-252,2.2308622194743035e-250,0.7702226541732452
gene_16391,666.4465264225297,2.568810553588311e-252,2.934684644299957e-250,0.7700608946660166
gene_3458,663.5000713240655,9.97166980548741e-252,1.1327928940267467e-249,0.7692753813985137
gene_3843,662.9746372970326,1.2706336689206663e-251,1.4353901351533406e-249,0.7691347385533043
gene_753,662.5421309313673,1.5513368297520502e-251,1.742754557467567e-249,0.7690188409185843
gene_14467,660.8094508040774,3.4547580971617566e-251,3.859594667552922e-249,0.768553369803159
gene_6836,652.5328991918,1.618304663681254e-249,1.7980076156208043e-247,0.766303803189668
gene_2318,650.025338758078,5.229024051791069e-249,5.77792870771952e-247,0.7656135913551302
gene_16372,647.1402598121962,2.0245516491929396e-248,2.22491624447448e-246,0.7648144055405559
gene_18051,647.0986994779951,2.064488460387457e-248,2.2565416841889063e-246,0.7648028532335839
gene_13998,646.7680485597516,2.4116938452058227e-248,2.6218742604251043e-246,0.7647109034931331
gene_18676,644.942847187075,5.694460953925754e-248,6.157630745953618e-246,0.7642020420419683
gene_2778,644.4415233249981,7.212413654582268e-248,7.757564707941917e-246,0.7640618887062776
gene_148,644.2609011247524,7.853648347769431e-248,8.402572658214056e-246,0.7640113519616868
gene_6937,639.3529390061188,8.002893655758927e-247,8.51718487437375e-245,0.7626298057284587
gene_11352,639.0830892343947,9.095979445598165e-247,9.629832480075418e-245,0.7625533762030796
gene_18178,636.8142577718602,2.6733125804587137e-246,2.815471546325815e-244,0.7619088234621635
gene_3541,634.0166968010427,1.0141697482369097e-245,1.0625661388133964e-243,0.7611092301460447
gene_4578,629.1674959383271,1.0338401744377987e-244,1.0775918642941611e-242,0.7597104438703799
gene_10098,627.4703738383457,2.3374740868984518e-244,2.4239006928806975e-242,0.7592170193883758
gene_13833,626.1995744152349,4.310391378820386e-244,4.4469604117921955e-242,0.7588462159096263
gene_7963,625.5431369368434,5.91509328927681e-244,6.071527989972913e-242,0.7586542279167102
gene_17904,624.0359803608186,1.2244586199135402e-243,1.250493825922813e-241,0.7582122717007357
gene_2054,623.2088367994584,1.8264358730543142e-243,1.855897476835743e-241,0.75796903281333
gene_1096,622.4241011824779,2.6700692173162223e-243,2.6995734821675667e-241,0.7577378120345747
gene_18214,619.1802238034396,1.2880177620111767e-242,1.2957715007775128e-240,0.7567773038134349
gene_18285,617.5051152090468,2.9099362375736845e-242,2.912961418810766e-240,0.7562783180494219
gene_1515,617.4782126525902,2.9483163386431833e-242,2.9368425952563454e-240,0.7562702875395966
gene_14866,614.1508366918697,1.4957214782308529e-241,1.4825972554561803e-239,0.7552729567252381
gene_6611,608.6139023070335,2.2640404931804082e-240,2.2332274542732213e-238,0.7535951282765994
gene_11713,606.7116208573943,5.783158405873997e-240,5.676759520639713e-238,0.753013367502091
gene_12079,605.6733210368787,9.657657978429055e-240,9.434178839701155e-238,0.7526946714928058
gene_15900,605.4170135530644,1.096205140705206e-239,1.0656905841442293e-237,0.7526158737978108
gene_12068,603.2650573189413,3.180764352199294e-239,3.077427558173298e-237,0.7519523028149442
gene_13202,600.5964915120909,1.1966290370833165e-238,1.1522397980410354e-236,0.7511244707643998
gene_14444,598.264492918619,3.822836896773243e-238,3.663582222258376e-236,0.7503965098564694
gene_16088,596.904578758324,7.537454114242296e-238,7.189380171891201e-236,0.7499700274240715
gene_7954,596.5878705294837,8.830015870603714e-238,8.3827113107736e-236,0.74987049530109
gene_1448,594.6864380766241,2.2867284311717894e-237,2.160744654519848e-235,0.7492712607232583
gene_6935,593.2526694311889,4.693331198677727e-237,4.414132565974992e-235,0.7488175077492949
gene_89,592.0814985405935,8.452295751422781e-237,7.912679277292596e-235,0.7484456400925569
gene_439,590.2605737002718,2.113317573946636e-236,1.969280860035711e-234,0.747865272090011
gene_16316,589.9031954146532,2.530362474129606e-236,2.3470853022648977e-234,0.7477510534161239
gene_7554,588.2983698466965,5.686714832874405e-236,5.250733362354034e-234,0.7472368702620976
gene_16363,587.1925111585108,9.945219652884353e-236,9.141013027317023e-234,0.7468813335467174
gene_8906,583.9874047344239,5.047960130504817e-235,4.618769312169136e-233,0.74584520926298
gene_12262,583.9586965716526,5.122100845653065e-235,4.665495549547326e-233,0.7458358903587604
gene_9706,578.383214192197,8.783325161028528e-234,7.964467178527259e-232,0.7440129959497686
gene_8794,578.3165736847386,9.087913354727222e-234,8.203870354729426e-232,0.7439910498026899
gene_4170,576.8744552355519,1.9017962998431541e-233,1.709165465739041e-231,0.7435152057692316
gene_19914,575.0532789621993,4.841844879062417e-233,4.332165721217749e-231,0.7429117537402515
gene_10460,573.3430684073822,1.166805497647292e-232,1.0393821131244887e-230,0.7423424794756691
gene_951,572.0568448887051,2.263823766932905e-232,2.0077535259276436e-230,0.7419126730809011
gene_3730,571.8779859926739,2.4826040045220583e-232,2.192171859189543e-230,0.7418527917310493
gene_3472,571.6382891798844,2.8094072200780027e-232,2.469957539008578e-230,0.7417724984677612
gene_5050,571.2113446966746,3.5020197907911326e-232,3.0655559389431815e-230,0.7416293574871057
gene_8004,565.203214790206,7.884056481212382e-231,6.871702849422223e-229,0.7395980595885991
gene_13950,563.8566547647337,1.5897076888467825e-230,1.3796342994064714e-228,0.7391384098741692
gene_9979,561.9920480572551,4.206737195393499e-230,3.6352321721389713e-228,0.73849923858202
gene_592,561.8028293791427,4.6439882041043795e-230,3.996003637242326e-228,0.7384342009316724
gene_18650,561.3680910038256,5.829096716871311e-230,4.99449850473961e-228,0.7382846514018188
gene_6789,555.9188873536654,1.0178458871389664e-228,8.684329824403816e-227,0.7363955209842665
gene_1149,553.3240402930755,4.0021849104673495e-228,3.4003437426285834e-226,0.7354863205986645
gene_18335,553.0139287008152,4.7151652527476327e-228,3.9893454634230075e-226,0.7353772418234403
gene_19373,552.7798078359847,5.336654640188903e-228,4.496353894969159e-226,0.7352948324419273
gene_6926,551.6812713848358,9.545555970085053e-228,8.009157148178003e-226,0.7349074666097767
gene_19151,550.2778803894513,2.00886600849119e-227,1.6785652709793534e-225,0.7344109505854276
gene_2073,549.3494971035152,3.288941599719076e-227,2.73685959209545e-225,0.7340814675893701
gene_1122,548.5283638179437,5.089186821646219e-227,4.2175592918241066e-225,0.7337893655517996
gene_5581,546.2658669297938,1.6986993209903515e-226,1.4020162844794245e-224,0.7329811966032969
gene_17441,546.2031603089416,1.7564968612139967e-226,1.443826139455619e-224,0.7329587277682775
gene_5442,545.3945431442534,2.7048046880841774e-226,2.214326137560735e-224,0.7326686475166211
gene_18333,544.2773978217582,4.914684738745663e-226,4.0072516170232276e-224,0.7322668487119509
gene_7396,543.8609195614184,6.1416650294129e-226,4.987574640954146e-224,0.7321167465405383
gene_16115,543.7804565427308,6.4119799379189544e-226,5.186265852986367e-224,0.7320877276089833
gene_16118,542.120490616764,1.560820513312847e-225,1.2574243665218755e-223,0.7314876561645312
gene_16272,540.9148755147409,2.981980474007331e-225,2.3928026652738982e-223,0.7310501429484572
gene_10279,540.8806867788609,3.0372766124157476e-225,2.4275403312118114e-223,0.7310377151938308
gene_9232,540.7977466100666,3.175732170310129e-225,2.5282078825134296e-223,0.7310075613073076
gene_11916,540.0381558999755,4.777987708080311e-225,3.788850566474195e-223,0.7307310882241739
gene_15803,539.7787369117187,5.493809868788192e-225,4.339465990498673e-223,0.7306365355994535
gene_1309,539.6929939820658,5.753302505750341e-225,4.526752138862944e-223,0.7306052695487846
gene_17837,539.6472807524553,5.896635095463465e-225,4.621544894006463e-223,0.7305885973109123
gene_545,538.9758206742824,8.465592307885648e-225,6.609372280222227e-223,0.730343468681433
gene_14767,537.3552342827776,2.0290733941663177e-224,1.578072811670658e-222,0.7297500028042453
gene_8013,537.3284265422024,2.058660736633384e-224,1.5949493776039717e-222,0.729740163727613
gene_7649,536.95017297704,2.5253305275103866e-224,1.9490346792666994e-222,0.7296012592876877
gene_6748,535.6222523698016,5.17836254355195e-224,3.981432281108897e-222,0.729112480110628
gene_15912,535.4729451385875,5.61427677486443e-224,4.3002382827474865e-222,0.7290574127785595
gene_19563,535.430592594303,5.744496680262059e-224,4.3833761272293996e-222,0.729041788282467
gene_5709,534.9454775766882,7.470605930243805e-224,5.679064756220299e-222,0.728862693374649
gene_1795,534.7447404072994,8.329007018996307e-224,6.307897038618888e-222,0.7287885158951386
gene_14177,530.3374448845631,9.140750406443305e-223,6.896832610772017e-221,0.7271496186083011
gene_19623,530.0612640284468,1.0626399934877668e-222,7.987971490080346e-221,0.7270462582246923
gene_20392,529.4656890565517,1.4706612769322112e-222,1.1014163585498607e-220,0.7268230982055889
gene_5988,529.112776744011,1.7831693079829442e-222,1.330533822019303e-220,0.7266906908433991
gene_3434,528.7587949589754,2.1635492692797768e-222,1.6084238887539105e-220,0.7265577532302884
gene_5765,528.6818434213475,2.2564577548710317e-222,1.6713491670786494e-220,0.7265288370198156
gene_15089,528.2736269856483,2.82051401658068e-222,2.08151875654299e-220,0.7263753385025093
gene_18753,527.8928706011869,3.4734409189480106e-222,2.5540526844380986e-220,0.7262320101785918
gene_8831,526.4131348177963,7.810066580019189e-222,5.722005663571306e-220,0.7256735638651165
gene_2105,526.1288950363218,9.127075634120223e-222,6.6627652129077634e-220,0.7255660319672789
gene_18212,525.270038225937,1.4621259818513197e-221,1.0635125711876093e-219,0.72524060157529
gene_3229,524.3786415029427,2.3858778342968834e-221,1.7292055801905837e-219,0.7249020242199251
gene_18810,520.2285066607195,2.350810201011515e-220,1.6977047526662086e-218,0.7233146376192319
gene_19606,519.8764871368384,2.8559894116838686e-220,2.0551943734398402e-218,0.7231791502980122
gene_18740,517.6035198538426,1.0060438836846643e-219,7.213905451059432e-218,0.7223011128376992
gene_6487,517.4761940046272,1.0796969285786109e-219,7.714682541621234e-218,0.7222517626332824
gene_2506,513.6348369394802,9.154207943625504e-219,6.517860522114483e-217,0.7207546001334486
gene_11474,510.26578938677363,6.024513608373951e-218,4.274445251751918e-216,0.7194281706833002
gene_3010,509.4756280823756,9.384359124156566e-218,6.635004400334613e-216,0.7191152495412839
gene_16255,509.37000298528613,9.95751678004395e-218,7.0157124323787e-216,0.7190733667979253
gene_6101,508.86462160352727,1.3224897766554255e-217,9.285439504774082e-216,0.7188727986585839
gene_10646,508.7709775900742,1.3939198771186437e-217,9.753098212877541e-216,0.7188356031811513
gene_1216,507.6050108547686,2.6849813370089818e-217,1.8721726764020214e-215,0.7183716546826167
gene_10690,506.877625043694,4.043808994375283e-217,2.809960882311429e-215,0.7180814450837962
gene_3619,506.6215234901858,4.671456110740104e-217,3.234983356687522e-215,0.717979124253899
gene_4918,500.477268218644,1.5123271395160987e-215,1.0437121873090454e-213,0.7155018339526712
gene_5667,499.90623242904627,2.0925340537209072e-215,1.439222146268383e-213,0.7152693869843226
gene_18216,498.9321006416817,3.6434797921767066e-215,2.4974510128001756e-213,0.7148719770633291
gene_8076,496.807648827523,1.2244220485324598e-214,8.364539947086104e-213,0.7140014193070069
gene_11250,493.4860473986705,8.2075011001558e-214,5.588009419065672e-212,0.7126295890761337
gene_2928,493.36308127210987,8.807970608225067e-214,5.976710525802654e-212,0.7125785510770338
gene_14845,492.6249292157621,1.3460719995855751e-213,9.103318362414688e-212,0.7122717941563398
gene_4210,492.488288358471,1.456082777348455e-213,9.81448328025437e-212,0.712214937909639
gene_15473,492.2410497098977,1.6785568371834374e-213,1.1276444453384149e-211,0.7121120048013395
gene_13111,490.5704577796622,4.392984751396204e-213,2.9414087635093593e-211,0.7114145512544762
gene_8988,488.73346770179745,1.2687288266769675e-212,8.46698534793233e-211,0.7106437168675253
gene_18447,487.917473949363,2.0340717760623042e-212,1.3529922823603899e-210,0.7102999886494803
gene_550,487.3467122828874,2.8307405087669084e-212,1.8767345517303492e-210,0.7100590759179168
gene_7026,486.89176785660453,3.684629230181681e-212,2.434865609918424e-210,0.7098667613086094
gene_3958,483.7982705072282,2.2229851119214973e-211,1.4642013663897263e-209,0.7085522787687077
gene_8800,479.9174349226238,2.143617101518662e-210,1.407340305513275e-208,0.7068863019806226
gene_9608,479.3450549245038,2.9976609299485344e-210,1.9616731930255442e-208,0.7066389759085843
gene_3540,477.5287080900925,8.704508172866218e-210,5.677866443984767e-208,0.7058513591214823
gene_6830,477.4811660264782,8.95114751649767e-210,5.8199727952121985e-208,0.705830686804057
gene_16388,477.16413137972955,1.0784980264741972e-209,6.989842497863699e-208,0.7056927589549365
gene_7490,476.8504334534646,1.2970162568489035e-209,8.37922227787274e-208,0.7055561554009095
gene_6719,476.6623194632908,1.4488122595278706e-209,9.33007410825257e-208,0.7054741780508423
gene_3645,476.6468458688346,1.4620644044981192e-209,9.385525182017927e-208,0.7054674328508114
gene_7932,476.20887893472326,1.892037394343e-209,1.2107243085762596e-207,0.7052763874877324
gene_845,473.63645123544154,8.630191117789782e-209,5.5050818483541705e-207,0.7041492478819819
gene_740,472.9526332064878,1.293145188391908e-208,8.22285813033735e-207,0.703848172972561
gene_8596,472.8088055829224,1.4080226758243506e-208,8.92527477361887e-207,0.7037847697942429
gene_3369,470.0060936601904,7.4209934544753525e-208,4.689372145092066e-206,0.7025438155409706
gene_7379,469.7594066145231,8.592945190698145e-208,5.413020084146641e-206,0.7024340920938932
gene_4587,468.49052989773037,1.828360954159748e-207,1.1481766103746667e-205,0.701868429458483
gene_553,467.8976929845514,2.6030594386317222e-207,1.6296119166740574e-205,0.7016034061995026
gene_6530,465.7111549855337,9.605610059790304e-207,5.994908673426535e-205,0.7006218437776469
gene_4288,465.5027259693226,1.0881145378328718e-206,6.770081252159539e-205,0.7005279403335564
