gene,h_statistic,p_value,fdr
gene_6876,563.8204864517547,1.0461299770854693e-120,2.703654504163899e-118
gene_8013,563.8011223043079,1.0562717265661838e-120,2.703654504163899e-118
gene_6719,563.3607229661394,1.3154337653357247e-120,3.324923271106711e-118
gene_8597,563.1584684853934,1.4548981570874987e-120,3.6320364980822604e-118
gene_18636,562.0244869736556,2.5597719156506183e-120,6.312335110533067e-118
gene_7954,561.809776406617,2.8487853035590787e-120,6.9403960991889314e-118
gene_221,561.5306533498233,3.273825025750934e-120,7.880954267346384e-118
gene_2167,561.3891952942495,3.512882793850873e-120,8.356941526406882e-118
gene_15895,561.0365067627304,4.187714277845829e-120,9.846484931665175e-118
gene_4210,560.9280216303496,4.4202883681030406e-120,1.0273867941541562e-117
gene_9706,560.7169681565603,4.910406267818318e-120,1.1283332402449343e-117
gene_13076,559.4742073358594,9.120513876728867e-120,2.0722012483296003e-117
gene_7113,558.8145945852808,1.266898709572318e-119,2.846439867362427e-117
gene_3843,557.852073293207,2.0464668800768305e-119,4.547429316706988e-117
gene_9177,557.002564124223,3.1247393876191174e-119,6.867973386635454e-117
gene_2129,556.0256203141321,5.08387417869319e-119,1.1053873093263978e-116
gene_10646,555.3819749946825,7.005826537029617e-119,1.507072536226339e-116
gene_14818,555.3158736032591,7.240384127834199e-119,1.5411348152519508e-116
gene_2822,555.0597402183791,8.225846952116839e-119,1.7326547001953603e-116
gene_18810,554.4926355902743,1.091147543654791e-118,2.2746489154890234e-116
gene_8004,554.4383992209338,1.1210330806884327e-118,2.313103053530694e-116
gene_8003,554.0458666127626,1.363167820706868e-118,2.784304697223594e-116
gene_11250,553.165671489937,2.1134562153600524e-118,4.2736198130795623e-116
gene_18216,553.0639924097541,2.2232742497907666e-118,4.4511711490117916e-116
gene_14092,552.8427201380341,2.4823815707665053e-118,4.921199778673481e-116
gene_15709,552.7962348953333,2.540541499454317e-118,4.987600937909295e-116
gene_5578,552.7406053694194,2.611936067882963e-118,5.078457618140519e-116
gene_19606,552.704782486067,2.658969385033982e-118,5.120668565216395e-116
gene_10290,552.2069131660975,3.4074878406548295e-118,6.500265247724651e-116
gene_1795,551.5920385458567,4.628822623454096e-118,8.747609557837875e-116
gene_5752,550.9977710995411,6.22368524187866e-118,1.165269808111374e-115
gene_3785,550.9100412622289,6.501731173880141e-118,1.2061606061195444e-115
gene_10921,550.6109874210042,7.546277366786366e-118,1.3872115875798828e-115
gene_2811,550.5604541944236,7.738667709950075e-118,1.4097621600261303e-115
gene_3540,550.3856118010765,8.44297104904015e-118,1.5243331927021505e-115
gene_9184,549.0186857715687,1.668182207378413e-117,2.9851603907432647e-115
gene_1376,548.5596371240958,2.0968273584157152e-117,3.7192935100459803e-115
gene_16123,548.1648632740435,2.552555584821216e-117,4.488280563536505e-115
gene_8598,546.5875503904437,5.600637269260052e-117,9.7629729501472e-115
gene_7623,546.1670917606792,6.905671094940792e-117,1.193500642827331e-114
gene_30,545.5026171714637,9.615413231502458e-117,1.647739584357722e-114
gene_19190,544.8471237647045,1.3328653275827303e-116,2.264863007483226e-114
gene_16130,544.6548658291146,1.4668369344834493e-116,2.471742471015819e-114
gene_3010,544.0304857949395,2.0020176924769318e-116,3.345685930543474e-114
gene_4057,543.619785566477,2.4565383723629723e-116,4.0385091404513545e-114
gene_545,543.6324556690918,2.441081950016557e-116,4.0385091404513545e-114
gene_6584,543.2113137048018,3.0109035168573265e-116,4.909958065675161e-114
gene_15633,542.8209430363629,3.6572419009740157e-116,5.9162470783676454e-114
gene_8741,542.6484299668095,3.985445607610057e-116,6.396007589800235e-114
gene_3439,542.6048715874779,4.07287174244194e-116,6.4848456302298006e-114
gene_12847,542.3000176345051,4.740844988026816e-116,7.489423945538301e-114
gene_5632,541.9768483907942,5.56894762151727e-116,8.729433322069823e-114
gene_12078,541.9247356169233,5.715413693417157e-116,8.890106176506796e-114
gene_3730,541.6722343867937,6.481506502567196e-116,1.0004774273924524e-113
gene_18632,541.0136433317132,8.998306440504591e-116,1.3784451101018434e-113
gene_19914,540.4520267764902,1.190323093136547e-115,1.8097385914521893e-113
gene_1858,539.8711171414653,1.5897998454343866e-115,2.3990554234722934e-113
gene_18753,539.7079246948422,1.724441341788571e-115,2.5829576572079032e-113
gene_15843,539.2191558791928,2.1998405160313306e-115,3.2708069907845245e-113
gene_16342,539.0016373204382,2.4516031532963677e-115,3.6185304644383833e-113
gene_11903,538.1205905328698,3.802412287214715e-115,5.571636149258605e-113
gene_1544,538.0441150052325,3.9500642389840896e-115,5.746348847230021e-113
gene_11310,537.6238494753566,4.8699618231195325e-115,7.03396414466429e-113
gene_1566,537.2124788918425,5.977537958198619e-115,8.559872700571364e-113
gene_14213,537.2012435294632,6.011087104896561e-115,8.559872700571364e-113
gene_8002,537.0847359538964,6.370279237222342e-115,9.007931220690418e-113
gene_14031,536.5123589369737,8.472024433068212e-115,1.1896722643130021e-112
gene_1565,536.1557391060753,1.0119021372701725e-114,1.4111498701889765e-112
gene_5937,535.9627646971477,1.1140036515296042e-114,1.5428950573685018e-112
gene_16259,535.4692899873687,1.4244418468056377e-114,1.9594311962079454e-112
gene_775,535.1170656181376,1.697635977370536e-114,2.3194525066492977e-112
gene_16338,534.5723963223027,2.226780353334173e-114,3.021995001662437e-112
gene_5829,534.5183237403135,2.2875749126126478e-114,3.0838034871960234e-112
gene_3219,533.9166760985125,3.0869824656777266e-114,4.1338988369847226e-112
gene_10844,533.6036920897886,3.607813402064849e-114,4.799578605470613e-112
gene_1679,533.2203009367211,4.3670223481275995e-114,5.771605156960013e-112
gene_12990,533.2047820746376,4.400912154736733e-114,5.778626277982564e-112
gene_1462,533.0764288651677,4.691482274674626e-114,6.120416972657781e-112
gene_13833,533.0124094228381,4.8435050918182094e-114,6.278238234721539e-112
gene_12977,532.6798652694222,5.716112669770749e-114,7.362134668499001e-112
gene_8005,532.414501117451,6.523914760946917e-114,8.34937217601947e-112
gene_1788,532.051271431465,7.817849785810634e-114,9.942436510621185e-112
gene_11026,532.0219627305639,7.932823476711476e-114,1.0025601470161423e-111
gene_4737,531.9548862681512,8.20235771722363e-114,1.030185561490553e-111
gene_2951,531.7864131666264,8.920416345912624e-114,1.1134551785845628e-111
gene_18212,531.1664892745938,1.214773243459931e-113,1.5069895555830224e-111
gene_4420,530.9195441073516,1.373780924814644e-113,1.6938551268705435e-111
gene_2747,530.532280791865,1.666076479554749e-113,2.0418019692773682e-111
gene_5934,530.3585646404526,1.8166665640773866e-113,2.2129406380848696e-111
gene_6530,530.175697302984,1.9899178752813644e-113,2.4094688237164352e-111
gene_5186,529.9285939395886,2.250563470929743e-113,2.708847853908948e-111
gene_2919,529.8925752890627,2.2913066080181866e-113,2.7415686935346596e-111
gene_1184,529.8793779068275,2.306418998788481e-113,2.7434175632059923e-111
gene_4862,529.4100910376744,2.913796387969363e-113,3.445606828136169e-111
gene_2938,528.7797254112706,3.988649600293332e-113,4.689214160902992e-111
gene_7116,528.6249924399006,4.3082321701524044e-113,5.035651023852703e-111
gene_6556,528.4568618704013,4.68457891069702e-113,5.444072997310601e-111
gene_13217,528.416240467407,4.780332724653988e-113,5.523606172870189e-111
gene_10266,528.2645753075445,5.155462100514863e-113,5.923215859915401e-111
gene_17331,528.1390933288292,5.487984552876137e-113,6.2696347821304166e-111
gene_9075,526.6291732396644,1.1642578032258132e-112,1.3226099460128747e-110
gene_11550,526.4632303744056,1.2645815499488346e-112,1.4285532693584013e-110
gene_17751,525.8377355840665,1.7268593607118425e-112,1.9399346184974537e-110
gene_16221,525.7036640699521,1.8461198971179907e-112,2.0624525104764028e-110
gene_3921,525.4931990338773,2.0501637956485729e-112,2.277822094055483e-110
gene_203,525.0597834153691,2.54417265374187e-112,2.81124126947073e-110
gene_15893,524.6754991934491,3.080889166921629e-112,3.385796730669688e-110
gene_951,524.651750773759,3.117549771153302e-112,3.407566157972482e-110
gene_13161,524.4033840989023,3.528098277080121e-112,3.835573938754684e-110
gene_5202,523.3021486608574,6.106064896948297e-112,6.602713277069065e-110
gene_11698,523.2500893458596,6.266469210258496e-112,6.740120952161545e-110
gene_8658,523.1255759837308,6.667417938071197e-112,7.133431646864428e-110
gene_18906,522.8219256585794,7.7560983772257595e-112,8.25452975188853e-110
gene_2774,522.7322108229539,8.110551604230662e-112,8.586568795243361e-110
gene_18217,522.6978582843553,8.25052373604843e-112,8.689262524303921e-110
gene_742,522.4760453451381,9.214334023442416e-112,9.654043952747621e-110
gene_13513,522.441122929291,9.376015987207176e-112,9.772805117387437e-110
gene_16398,522.1804060400691,1.067619104446367e-111,1.1070936364620506e-109
gene_8031,521.2130855145106,1.728483085871046e-111,1.783247779561144e-109
gene_17458,521.0211529944445,1.9018812983184156e-111,1.9521797834160754e-109
gene_19339,520.6307200837564,2.310151794843173e-111,2.3592716890668587e-109
gene_18364,520.5453203717005,2.410537311686183e-111,2.4494208532465484e-109
gene_19563,520.3611943558017,2.6420635397777323e-111,2.6712583418922764e-109
gene_14673,520.1480322644279,2.938011946538927e-111,2.9556984861175944e-109
gene_1204,519.840899695801,3.4236630510473686e-111,3.4272223047142993e-109
gene_8616,519.5853500138326,3.888393376062366e-111,3.8732612047959164e-109
gene_17588,519.2545004218077,4.584982724418796e-111,4.544751748552572e-109
gene_15301,519.0602269373431,5.050818487606529e-111,4.982078079897153e-109
gene_6935,519.0350390579134,5.114583177122478e-111,5.020484777892894e-109
gene_18051,518.7118742398677,6.007795561276144e-111,5.868774591524874e-109
gene_17048,518.6736560128335,6.1232536710309466e-111,5.952803484707537e-109
gene_15329,518.4521748501911,6.837408034029313e-111,6.615274060100801e-109
gene_16156,518.4121272566134,6.975162071958948e-111,6.716416774146757e-109
gene_7417,518.0048082205278,8.54402398652797e-111,8.18809047543043e-109
gene_19296,517.98529558357,8.627466417141035e-111,8.209610764249041e-109
gene_10690,517.9805974466221,8.647678615226971e-111,8.209610764249041e-109
gene_12271,517.6471061725224,1.0210279375551547e-110,9.64775977817887e-109
gene_13111,517.5414217208018,1.0762133573329453e-110,1.0095020516731942e-108
gene_10731,517.537446200979,1.078346487124326e-110,1.0095020516731942e-108
gene_19356,517.2217776851003,1.2619464309029299e-110,1.1759363492759515e-108
gene_7379,516.9108904468912,1.4732929522293786e-110,1.3665805865610213e-108
gene_88,516.4374073824188,1.865126089857121e-110,1.7221330896347418e-108
gene_17477,515.7525836136568,2.6232623955243043e-110,2.4111358590862253e-108
gene_18290,515.5489919436774,2.903222328918731e-110,2.6563827471975414e-108
gene_1058,515.0075712322772,3.8018392074342e-110,3.462927505113827e-108
gene_5625,514.9392097858367,3.933515049817402e-110,3.566798557056399e-108
gene_19377,514.6541984391461,4.5334698523652235e-110,4.0924684769945175e-108
gene_13639,514.6403318017699,4.564888538180729e-110,4.102516050246779e-108
gene_4584,514.564675193497,4.740183987793955e-110,4.2412062131496266e-108
gene_352,514.4951088289555,4.9073027510074454e-110,4.371390701679363e-108
gene_3461,514.250496402969,5.543116862599551e-110,4.9161125473081365e-108
gene_5709,514.2107709184868,5.653883998765381e-110,4.99245363925916e-108
gene_14079,513.5559175067906,7.834210189749162e-110,6.88763322812686e-108
gene_13916,513.4911749977072,8.090946608558687e-110,7.082555470634858e-108
gene_5144,512.6471256176306,1.231886359032688e-109,1.0737057787068958e-107
gene_4476,512.4591246732256,1.352807042688079e-109,1.1740391077337186e-107
gene_3619,512.4475448177445,1.3606317899187716e-109,1.1757835651259607e-107
gene_14427,511.8173016423307,1.8623607299686287e-109,1.6025019710934316e-107
gene_13631,511.75887367603127,1.91735216940084e-109,1.6428295854853555e-107
gene_14553,511.5345153604929,2.1440306065424313e-109,1.8293013879702324e-107
gene_17060,511.3330102791067,2.3703736327022057e-109,2.0139212280198027e-107
gene_10867,511.04171741551863,2.7404617014792033e-109,2.3186140613226348e-107
gene_609,510.91320514459676,2.921601788543461e-109,2.461571240255722e-107
gene_3472,510.78994742556733,3.1065741051856696e-109,2.6065574680896027e-107
gene_8350,510.74892239952305,3.170702116977551e-109,2.6493705581571514e-107
gene_1191,510.7162018837694,3.2227966043803994e-109,2.6818177011183563e-107
gene_11030,510.64728430588184,3.335337443098193e-109,2.7640925588888754e-107
gene_19148,510.63834991041875,3.3502119959528397e-109,2.765087215108668e-107
gene_8800,510.6152931883753,3.3889055058629307e-109,2.7856527737420457e-107
gene_6160,510.577264859142,3.4537029924152307e-109,2.827422194721797e-107
gene_3645,510.35047757417516,3.8666870696875383e-109,3.152753195006117e-107
gene_18792,510.07292119833784,4.439911286541102e-109,3.605600245989865e-107
gene_14685,509.7656931141323,5.17401140671246e-109,4.1849473862053066e-107
gene_2844,509.7574926274535,5.195186416227387e-109,4.1853332479097205e-107
gene_19373,509.7186492195194,5.296669923638153e-109,4.2501572430907575e-107
gene_3360,509.1137956172129,7.1586570791718085e-109,5.72154959675625e-107
gene_10428,509.09752842466787,7.2168904419614455e-109,5.745383528618204e-107
gene_172,509.02114834128,7.496713771232746e-109,5.944747026199896e-107
gene_2992,508.8600965623947,8.122804234872849e-109,6.416063454428277e-107
gene_9362,508.78841374381403,8.418035817553938e-109,6.623389193259074e-107
gene_3849,508.6712777894256,8.923740098650893e-109,6.994067772667431e-107
gene_1735,508.30506873603304,1.070919061366769e-108,8.361024841659242e-107
gene_4422,508.0370789799095,1.2238318531795056e-108,9.48164900503555e-107
gene_6164,508.03935550375365,1.2224450607994046e-108,9.48164900503555e-107
gene_15899,507.7668854364371,1.4001140231627379e-108,1.0805994527623558e-106
gene_13298,507.6594899315471,1.4770409568959768e-108,1.1356366992164847e-106
gene_11910,507.59861671977797,1.5225063520617119e-108,1.166159126706056e-106
gene_13687,507.5290396926548,1.5761889304231757e-108,1.2027213721542276e-106
gene_12756,507.5029856462079,1.5967746521459297e-108,1.213848881242212e-106
gene_17585,507.303936173736,1.7631813073735074e-108,1.33532918413482e-106
gene_16391,507.2900956000284,1.7753770970403084e-108,1.33954851788254e-106
gene_18333,507.1749763261875,1.8801403382564844e-108,1.4133203635644747e-106
gene_19159,507.14846229637845,1.90513212491084e-108,1.4268028406600775e-106
gene_14845,507.11101004215897,1.941001212518619e-108,1.4483020486471955e-106
gene_7396,507.065548272054,1.98544985081609e-108,1.4760213762261822e-106
gene_16385,506.93040194775193,2.12368579415023e-108,1.573005510751348e-106
gene_3385,506.9116514252778,2.1436105468942223e-108,1.581968936815623e-106
gene_8032,506.88427177114676,2.173041076045253e-108,1.5978568581349477e-106
gene_18867,506.76548965201255,2.305471520126552e-108,1.689092014799964e-106
gene_8043,506.6748457953837,2.411934126363631e-108,1.7607119122454508e-106
gene_4617,506.6227322117979,2.475353723873554e-108,1.8005081888650049e-106
gene_17947,506.5616887501019,2.551764322293027e-108,1.849434636598111e-106
gene_263,506.552605625425,2.563333891961155e-108,1.851184808190947e-106
gene_3524,506.04237347455955,3.3049488015340985e-108,2.3782693849046623e-106
gene_5985,505.98910527571434,3.3937999607136375e-108,2.4335471278578177e-106
gene_19236,505.6657212278738,3.9868659687389514e-108,2.848707305790471e-106
gene_3257,505.6027344864615,4.1139134063553484e-108,2.92913531654618e-106
gene_17883,505.5170378582599,4.29329376678185e-108,3.046129588003361e-106
gene_15900,505.29927612556264,4.785095187834313e-108,3.3714080067316255e-106
gene_15688,505.304853285575,4.7718226146724355e-108,3.3714080067316255e-106
gene_15002,505.21777635830176,4.983314013044264e-108,3.498874745061391e-106
gene_2910,504.8568837158116,5.964526591317725e-108,4.1733111488939693e-106
gene_18141,504.80174771157834,6.130577191338959e-108,4.27470349607121e-106
gene_17304,504.4304190604171,7.375917275634148e-108,5.125375368749076e-106
gene_6828,504.1262332670867,8.582389234438125e-108,5.943304544848402e-106
gene_15818,504.00630766458323,9.11059630712742e-108,6.287555219331862e-106
gene_11596,503.9422788038419,9.405795578082767e-108,6.469203822599035e-106
gene_16170,503.850341088056,9.846471579275874e-108,6.749339044221608e-106
gene_16169,503.552905968535,1.1418588209322577e-107,7.800515952051074e-106
gene_13998,503.3595370983899,1.2572909306212793e-107,8.560161585216461e-106
gene_141,502.89788210543793,1.5822896003927472e-107,1.0736737587094544e-105
gene_13074,502.67851885619353,1.764945782783345e-107,1.1936109924301679e-105
gene_15927,502.4351037898869,1.9924102199506735e-107,1.3429509019207525e-105
gene_1715,502.3486602050417,2.080057385053823e-107,1.397370112397786e-105
gene_7649,502.1996799495488,2.2402560671229816e-107,1.5000072163342321e-105
gene_1750,501.4109906385089,3.318023803606561e-107,2.214315489528986e-105
gene_13527,501.29077274298754,3.522741347493738e-107,2.3432023943312788e-105
gene_12567,501.03834488932773,3.994633058122948e-107,2.6483762317476765e-105
gene_11916,499.71975469010954,7.703094497870592e-107,5.090335746452328e-105
gene_1339,499.5392353269929,8.427683540039975e-107,5.551015923881053e-105
gene_4182,499.38356746085356,9.107019148986707e-107,5.978994617261695e-105
gene_2179,499.256652329781,9.701202577881778e-107,6.348479525156875e-105
gene_142,499.22749503347313,9.843096366821019e-107,6.420556504306059e-105
gene_7535,499.03717616417634,1.0821663340896525e-106,7.036168952291596e-105
gene_18407,499.00268137776646,1.1009169693520933e-106,7.135141678611756e-105
gene_18203,498.74874373435296,1.249327336171666e-106,8.071133567005514e-105
gene_6378,498.5588408298404,1.373246188671919e-106,8.84344305131684e-105
gene_357,498.2094023726188,1.634273406683835e-106,1.0490997637001216e-104
gene_10411,498.1828343902137,1.6560399533053276e-106,1.059708351132501e-104
gene_5598,498.1254685292588,1.704032355473476e-106,1.083560951573244e-104
gene_2006,498.1277350362798,1.7021100623429174e-106,1.083560951573244e-104
gene_9197,497.7059493076056,2.0999590552600267e-106,1.3311370550599687e-104
gene_5747,497.5965105982705,2.217583681842082e-106,1.401304988454023e-104
gene_19442,497.5386663141938,2.282393161770672e-106,1.4377654867341046e-104
gene_11252,497.47313333246876,2.3581085128916405e-106,1.480848206185772e-104
gene_9111,497.42924841133845,2.4102112864203713e-106,1.5088818087525178e-104
gene_5580,497.35570012518065,2.500126378340186e-106,1.5603412190252132e-104
gene_11474,497.2579401521686,2.624854529184968e-106,1.633144105681515e-104
gene_1315,497.11607919144944,2.8169979844905626e-106,1.7473164492142228e-104
gene_15896,496.8901634144022,3.1524405408669825e-106,1.9494036751336775e-104
gene_5174,496.8213982218049,3.262264800320708e-106,2.011166357539178e-104
gene_740,496.72001934007534,3.431192476584663e-106,2.1088797285415946e-104
gene_487,496.33603631065967,4.154238517904023e-106,2.5455411233496136e-104
gene_8891,496.1062961206968,4.657776166455793e-106,2.845465010933613e-104
gene_5422,495.9717417212657,4.98057401305135e-106,3.033499611985281e-104
gene_13510,495.4400659494944,6.49033911287741e-106,3.94117559163646e-104
gene_8099,495.4178016171609,6.562700555548286e-106,3.973184668674907e-104
gene_9176,495.11706151871715,7.622980630450154e-106,4.601322129203957e-104
gene_2163,495.01151905543907,8.034352026695233e-106,4.835197390827509e-104
gene_6747,494.8326974064653,8.782642391013897e-106,5.269846047142196e-104
gene_706,494.69980329081,9.38353781310156e-106,5.613743139607297e-104
gene_223,494.5555205150539,1.0082565259662815e-105,6.014146080107427e-104
gene_18771,494.3637517744705,1.1092906145523215e-105,6.597342799077203e-104
gene_17426,493.85340557317875,1.4302727022803403e-105,8.481391294079401e-104
gene_271,493.78161260111006,1.4823324335422447e-105,8.764398870952553e-104
gene_220,493.5001573694044,1.7053605769865235e-105,1.0053672369459035e-103
gene_17395,493.383140720311,1.8076880502138366e-105,1.0625947692841275e-103
gene_5668,493.33334262222115,1.8530764948335336e-105,1.086117675421127e-103
gene_5657,493.2683710116988,1.9140125640076448e-105,1.118590984300537e-103
gene_13511,493.23006765197147,1.950871499497981e-105,1.1368464723731605e-103
gene_9198,493.18072287958785,1.9994036011896106e-105,1.1617798913694e-103
gene_15800,493.09537935277103,2.0862085695805755e-105,1.208745658609995e-103
gene_12304,492.9459583908572,2.247361744038432e-105,1.2983971950343182e-103
gene_16105,492.8900098948222,2.3108563544537953e-105,1.3312771038008604e-103
gene_18415,492.5998553927611,2.670081376798707e-105,1.533855554552462e-103
gene_11675,492.57075905919714,2.7090507239838167e-105,1.5518332773279535e-103
gene_6723,492.45363886850527,2.8717498352603873e-105,1.6403856897966185e-103
gene_19542,492.1559943259676,3.330564023777081e-105,1.8917790765392235e-103
gene_5939,492.1561369260733,3.3303275238941856e-105,1.8917790765392235e-103
gene_13147,492.0919646459757,3.438471096647225e-105,1.9476001133138247e-103
gene_11388,491.8157184509482,3.9455594882518465e-105,2.228579843908955e-103
gene_11494,491.58587280386746,4.424016674551907e-105,2.491867442231591e-103
gene_5581,491.4742941970577,4.676786618142824e-105,2.6269250612629454e-103
gene_18741,491.4565733803661,4.7182395410401915e-105,2.635566899430213e-103
gene_6369,491.4591758816537,4.712128773398948e-105,2.635566899430213e-103
gene_16337,491.26272083197455,5.19641571437867e-105,2.8946755416102227e-103
gene_8107,491.0875448758643,5.670072362329203e-105,3.1498498142488686e-103
gene_15089,490.6449110947419,7.068304885074488e-105,3.9158409063312664e-103
gene_16957,490.3156279544737,8.32775271457249e-105,4.600969607687714e-103
gene_7420,490.29501824873796,8.413660431696326e-105,4.635766419327831e-103
gene_13576,490.22568880767994,8.709204965825362e-105,4.785566130813985e-103
gene_5711,490.0272447944758,9.613797220409108e-105,5.268308769482183e-103
gene_3958,489.90787383871975,1.0202595157335276e-104,5.57585612639126e-103
gene_19213,489.69082739426676,1.1367108957062304e-104,6.19553396821447e-103
gene_4058,489.51943074369865,1.2379893743816562e-104,6.729404069723513e-103
gene_10348,489.34195931938575,1.3523761702246173e-104,7.331474138904018e-103
gene_6830,488.9235448791734,1.6656550239190627e-104,9.005671186809456e-103
gene_5544,488.65015324951173,1.908575631257934e-104,1.0291548757244448e-102
gene_8050,488.4901495482446,2.066864889446627e-104,1.1115445459973468e-102
gene_9118,488.2891554579046,2.2844381139230528e-104,1.2252950424837679e-102
gene_5869,488.27274813628765,2.303178873891309e-104,1.2320788362157713e-102
gene_6355,488.0623406802858,2.557588339428693e-104,1.3645644805168232e-102
gene_13277,488.03009884819994,2.5989821358361058e-104,1.383000467598471e-102
